id,country_id,city_id,name,slug,type,place_kind,category,tags,description_short,lat,lng,address,website,phone,instagram,google_maps_url,price_level
sgp-marina-bay-sands-skypark,sg,sgp,🌆 Marina Bay Sands SkyPark,sgp-marina-bay-sands-skypark,skyline,showplace,skyline,"[""skyline"",""landmark"",""observation""]",Знаменитая смотровая площадка и бассейн на крыше Marina Bay Sands с панорамным видом на город. - 🔭 Смотровую площадку - 🌃 Вечерний вид на город - 📷 Фото skyline - 🕒 11:00–21:00 - 🌐 Английский - 📶 Интернет - 💳 Карты,1.2834,103.8607,Marina Bay Sands,—,,,,
sgp-gardens-by-the-bay,sg,sgp,🌿 Gardens by the Bay,sgp-gardens-by-the-bay,park,showplace,park,"[""park"",""futurism"",""nature""]",Футуристический парк с гигантскими «деревьями» Supertree и оранжереями. - 🌳 Supertree Grove - 🌺 Flower Dome - 🌃 Вечернее световое шоу - 🕒 09:00–21:00 - 🌐 Английский - 📶 Интернет - 💳 Карты,1.2816,103.8636,Gardens by the Bay,—,,,,
sgp-merlion-park,sg,sgp,🦁 Merlion Park,sgp-merlion-park,symbol,showplace,symbol,"[""symbol"",""waterfront"",""city""]",Парк со статуей Мерлиона — мифического символа Сингапура. - 🦁 Статую Мерлиона - 🚶 Прогулку по набережной - 📷 Фото на фоне skyline - 🕒 Круглосуточно - 🌐 Английский - 📶 Интернет - 💳 —,1.2868,103.8545,Merlion Park,—,,,,
sgp-singapore-botanic-gardens,sg,sgp,🌸 Singapore Botanic Gardens,sgp-singapore-botanic-gardens,unesco,showplace,unesco,"[""unesco"",""garden"",""nature""]",Тропический ботанический сад — объект UNESCO и зелёное сердце города. - 🌸 Orchid Garden - 🚶 Прогулки - 📷 Фото растений - 🕒 05:00–00:00 - 🌐 Английский - 📶 Интернет - 💳 —,1.3138,103.8159,Botanic Gardens,—,,,,
sgp-sentosa-island,sg,sgp,🏝 Sentosa Island,sgp-sentosa-island,island,showplace,island,"[""island"",""resort"",""beach""]","Остров развлечений с пляжами, парками и курортами. - 🏖 Пляжи - 🎢 Аттракционы - 🌅 Закат у моря - 🕒 Круглосуточно - 🌐 Английский - 📶 Интернет - 💳 Карты",1.2494,103.8303,Sentosa Island,—,,,,
sgp-jewel-changi-airport,sg,sgp,💧 Jewel Changi Airport,sgp-jewel-changi-airport,airport,showplace,airport,"[""airport"",""architecture"",""landmark""]",Архитектурный комплекс аэропорта Чанги с водопадом Rain Vortex и садами. - 💦 Rain Vortex - 🛍 Шопинг - 📷 Фото купола - 🕒 Круглосуточно - 🌐 Английский - 📶 Интернет - 💳 Карты,1.36,103.9894,Changi Airport,—,,,,
sgp-lau-pa-sat-hawker-centre,sg,sgp,🍢 Lau Pa Sat Hawker Centre,sgp-lau-pa-sat-hawker-centre,hawker,business,hawker,"[""hawker"",""street-food"",""local""]","Один из самых известных фудкортов Сингапура с уличной едой и сатэ. - 🍢 Satay - 🍜 Локальные блюда - 🌃 Ночная атмосфера - 🕒 24/7 - 🌐 Английский - 📶 Интернет - 💳 Наличные, карты",1.2806,103.8505,Lau Pa Sat,—,,,,
sgp-atlas-rooftop-bar,sg,sgp,🍸 Atlas Rooftop Bar,sgp-atlas-rooftop-bar,bar,business,bar,"[""bar"",""luxury"",""design""]",Люксовый бар в арт-деко интерьере с одной из лучших коллекций джина в мире. - 🍸 Коктейли - 🏛 Интерьер - 🌅 Атмосферу вечера - 🕒 17:00–01:00 - 🌐 Английский - 📶 Wi-Fi - 💳 Карты,1.292,103.857,"Bugis, Singapore",—,,,,
sgp-jumbo-seafood,sg,sgp,🦀 Jumbo Seafood,sgp-jumbo-seafood,seafood,business,seafood,"[""seafood"",""restaurant"",""chili-crab""]","Легендарный ресторан морепродуктов, известный чили-крабом. - 🦀 Chili Crab - 🍤 Морепродукты - 🍚 Рис и соусы - 🕒 12:00–23:00 - 🌐 Английский - 📶 Wi-Fi - 💳 Карты",1.2897,103.8463,Clarke Quay,—,,,,
sgp-maxwell-food-centre,sg,sgp,🍜 Maxwell Food Centre,sgp-maxwell-food-centre,hawker,business,hawker,"[""hawker"",""local-food"",""budget""]","Один из самых известных hawker-центров Сингапура, где можно попробовать классические локальные блюда в бюджетном формате. - 🍗 Chicken Rice - 🍜 Локальную лапшу/супы - 🥤 Холодные напитки и десерты - 🕒 08:00–22:00 - 🌐 Английский - 📶 Интернет ограничен - 💳 Наличные (часто), иногда карты/QR",1.2801,103.8443,"Maxwell Food Centre, Singapore",—,,,,
sgp-odette,sg,sgp,🍽 Odette,sgp-odette,fine-dining,business,fine-dining,"[""fine-dining"",""premium"",""restaurant""]","Один из самых известных fine dining ресторанов Сингапура, символ гастрономического уровня города. - 🍽 Дегустационный сет - 🍷 Wine pairing - 🍰 Десерты шефа - 🕒 12:00–14:30, 18:30–22:30 - 🌐 Английский - 📶 Wi-Fi - 💳 Карты",1.2906,103.8517,National Gallery Singapore,—,,,,
sgp-long-bar,sg,sgp,🍹 Long Bar,sgp-long-bar,bar,business,bar,"[""bar"",""heritage"",""cocktail""]",Легендарный бар в Raffles Hotel — родина коктейля Singapore Sling и культовое место колониальной эпохи. - 🍹 Singapore Sling - 🥜 Классические снеки - 🏛 Интерьер Long Bar - 🕒 12:00–23:00 - 🌐 Английский - 📶 Wi-Fi - 💳 Карты,1.2949,103.8546,"Raffles Hotel, Singapore",—,,,,
